"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Terry Rozier","Mia","G","30.9","45","28.5","20.7","11.4","85","0.859","263","0.506","236","0.301","0.48","0.515","12.3","4.2","2.9","0.6","0.3","1.4","16.4","15.2","19.4","7.5","104.3","112.6"
"","Stephon Castle","San","G","20.3","47","25.5","23.7","15.3","155","0.716","326","0.479","182","0.275","0.455","0.497","12.2","2.8","3.7","0.8","0.3","2","15","15.9","18.7","7.9","101","112.7"
"","Josh Giddey","Chi","G","22.3","48","28.8","20.3","21.1","102","0.755","310","0.513","183","0.339","0.511","0.54","12.1","7.3","6.6","1.1","0.5","2.8","19.4","18.7","25.9","11.6","109.7","113"
"","Onyeka Okongwu","Atl","F-C","24.2","44","25","17.2","10.4","119","0.739","298","0.641","72","0.292","0.601","0.631","12.1","7.9","2","0.8","0.8","1","20","14.1","22","9.2","128.6","107.3"
"","Keldon Johnson","San","F-G","25.3","45","23.8","21.1","7.9","115","0.765","276","0.547","167","0.305","0.514","0.55","12.1","4.7","1.4","0.6","0.2","0.8","16.8","13.5","18.2","7.2","112.3","112"
"","Brook Lopez","Mil","C","36.9","48","32.1","15.2","9.4","65","0.8","213","0.596","248","0.371","0.575","0.594","12.1","4.7","1.7","0.7","1.9","1","16.8","13.8","18.5","5.7","116.1","110.3"
"","Daeqwon Plowden","Atl","G-F","26.4","2","16.4","14.8","8.7","2","1","2","1","8","0.75","1.1","1.103","12","2.5","0","0","0","0.5","14.5","12","14.5","0","176.4","106.9"
"","Jeremy Sochan","San","F","21.7","29","27.2","18.7","16","75","0.707","218","0.583","45","0.311","0.563","0.59","12","7.4","2.6","0.9","0.6","1.7","19.4","14.6","22","9","115","107.5"
"","Keegan Murray","Sac","F","24.5","47","35.1","14.7","7.9","49","0.816","242","0.554","262","0.324","0.519","0.536","12","7.1","1.4","0.8","0.9","0.9","19","13.4","20.4","5.6","112.2","111.3"
"","Jabari Smith Jr.","Hou","F","21.7","33","30.9","15.2","9","75","0.867","155","0.516","158","0.354","0.524","0.568","11.9","6.5","1","0.4","1","0.9","18.5","12.9","19.5","5.5","119.1","106.6"
"","Buddy Hield","Gol","G","32.1","50","23.2","21.2","10.8","45","0.822","158","0.513","347","0.369","0.541","0.555","11.7","3.2","1.6","0.9","0.3","1.2","14.9","13.3","16.5","6.7","105.9","109.3"
"","Harrison Barnes","San","F","32.7","48","27.9","14.8","7.1","131","0.802","205","0.58","175","0.417","0.601","0.642","11.7","4","1.8","0.4","0.2","0.6","15.7","13.5","17.5","6.3","131.8","117.2"
"","Alexandre Sarr","Was","C","19.8","41","26.8","20.6","11.3","87","0.644","259","0.463","189","0.307","0.462","0.483","11.5","6.6","2.2","0.7","1.6","1.4","18.1","13.7","20.3","8.2","100","113.4"
"","Corey Kispert","Was","F","25.9","45","26.7","17.2","10.1","61","0.869","176","0.58","244","0.357","0.554","0.58","11.5","3","1.6","0.6","0.2","1","14.5","13.1","16.1","5.7","111.2","119.7"
"","Jonas Valanciunas","Was","C","32.8","49","20","23.6","17.2","106","0.896","395","0.567","27","0.259","0.556","0.602","11.5","8.2","2.2","0.4","0.6","1.8","19.8","13.7","22","11.8","114.5","108.9"
"","Isaiah Hartenstein","Okc","C-F","26.8","29","29.3","17.1","17.5","75","0.653","241","0.581","13","0","0.551","0.573","11.3","12.2","4.3","0.8","1.2","1.9","23.5","15.6","27.8","11.5","119.6","94.1"
"","Jaylen Wells","Mem","F","21.5","51","26.1","16.4","9.6","88","0.841","207","0.527","252","0.377","0.548","0.58","11.3","3.2","1.7","0.6","0.1","1","14.5","13","16.2","6","118.4","110.9"
"","Ty Jerome","Cle","G-F","27.6","48","18.9","22.6","13.3","82","0.89","223","0.583","160","0.431","0.61","0.644","11.3","2.4","3.4","1.2","0","1.2","13.7","14.6","17.1","9.6","127.3","107.6"
"","Zaccharie Risacher","Atl","F","19.8","44","23.9","20.6","10.1","98","0.694","252","0.5","186","0.306","0.483","0.51","11.2","3.5","1.2","0.8","0.5","1.1","14.6","12.4","15.8","6","102.4","111.5"
"","Tari Eason","Hou","F","23.7","33","23.6","19.2","9","69","0.739","204","0.534","99","0.343","0.528","0.556","11.2","6.3","1.1","1.8","0.9","0.9","17.6","12.3","18.7","7.2","117.3","98.9"
"","Nikola Jovic","Mia","F","21.7","40","24.8","18.4","13.6","85","0.835","147","0.558","178","0.393","0.575","0.614","11.1","4","2.9","0.9","0.3","1.3","15.1","14.1","18.1","8.1","118.7","109"
"","Andrew Nembhard","Ind","G-F","25.1","33","28.4","17.5","17.2","84","0.762","205","0.537","79","0.342","0.53","0.569","11.1","3.5","5.2","1.2","0.1","1.8","14.5","16.2","19.7","8.3","114","111.4"
"","Guerschon Yabusele","Phi","F","29.1","48","26.8","16.5","14.2","90","0.733","197","0.629","182","0.401","0.616","0.637","11.1","5.7","2","0.8","0.4","1.3","16.8","13.1","18.8","7.5","122.8","109.2"
"","Walker Kessler","Uta","C","23.5","39","30","13","18.7","108","0.537","249","0.731","7","0.286","0.723","0.705","11","11.6","1.5","0.5","2.4","1.5","22.6","12.5","24.1","7.7","131.3","111.8"
"","Jaden McDaniels","Min","F","24.4","51","31.5","15.1","10.6","70","0.8","277","0.545","194","0.345","0.534","0.557","11","5.4","1.7","1.5","0.9","1.1","16.4","12.6","18.1","5.9","112.7","104.2"
"","Donte DiVincenzo","Min","G","28","40","26.4","19.2","15.8","50","0.82","95","0.474","279","0.369","0.533","0.556","11","3.7","3.6","1.2","0.2","1.8","14.7","14.6","18.3","8","109.5","108.2"
"","Tim Hardaway Jr.","Det","G-F","32.9","47","28.6","15","7.6","97","0.825","135","0.489","265","0.381","0.544","0.582","11","2.2","1.6","0.4","0","0.7","13.2","12.5","14.7","4.7","117.6","116.1"
"","Jrue Holiday","Bos","G","34.7","44","30.2","15.9","12.8","60","0.9","177","0.559","225","0.342","0.534","0.564","11","4.4","3.7","1","0.4","1.3","15.4","14.7","19.1","7.5","117.6","109.5"
"","Jordan Hawkins","Nor","G","22.8","33","23.2","21.6","8.2","62","0.839","141","0.411","195","0.328","0.458","0.495","10.9","2.5","1","0.7","0.4","0.9","13.4","11.9","14.4","5.2","99.6","122"
"","Naji Marshall","Dal","F","27","38","24.3","18.9","13.6","65","0.862","224","0.589","107","0.299","0.544","0.578","10.9","3.6","2.6","1","0.1","1.4","14.5","13.5","17.1","7.7","114.1","112.5"
"","Duncan Robinson","Mia","F","30.8","47","24.1","19.4","10.8","38","0.895","119","0.529","310","0.377","0.556","0.573","10.9","2.4","2.6","0.5","0.1","1.1","13.3","13.5","15.9","6.8","110.9","109.4"
"","Tyus Jones","Pho","G","28.7","49","29.3","15.7","12.9","40","0.875","191","0.534","239","0.414","0.583","0.599","10.9","2.3","5.8","0.9","0.1","1.3","13.3","16.8","19.1","7.2","124.5","119.7"
"","Grayson Allen","Pho","G","29.3","41","24.8","16.8","12.1","71","0.831","79","0.519","234","0.432","0.615","0.645","10.8","3.4","2","0.9","0.3","1","14.2","12.8","16.1","6.8","121.1","115.2"
"","Jalen Duren","Det","C","21.2","48","25.7","15.6","22.6","125","0.664","308","0.698","0","0","0.698","0.707","10.7","10","2.3","0.6","1.2","1.9","20.7","13","22.9","9.8","128.3","101.3"
"","Brandon Boston Jr.","Nor","G","23.2","41","23.8","19.8","11.8","81","0.802","238","0.492","135","0.341","0.499","0.535","10.7","3.2","2.2","1.2","0.2","1.2","13.9","12.9","16.1","7.1","107.3","115.8"
"","Rudy Gobert","Min","C","32.6","51","33.3","12.1","17.2","178","0.674","326","0.65","0","0","0.65","0.673","10.7","10.4","1.9","0.7","1.6","1.3","21.1","12.5","22.9","7.2","132.8","105.2"
"","Dennis Schroder","Gol","G","31.4","24","26.2","21.1","16","39","0.744","136","0.419","115","0.322","0.448","0.474","10.6","2.3","4.4","1","0.1","2","12.9","15","17.3","7.3","98.2","107.1"
"","Chris Boucher","Tor","F","32.1","43","17.4","21.7","7.7","80","0.788","154","0.649","168","0.375","0.604","0.633","10.5","4.3","0.6","0.5","0.6","0.6","14.8","11.1","15.4","6.9","122.8","111.5"
"","Julian Champagnie","San","F","23.6","48","25.3","17","10.6","51","0.902","109","0.56","304","0.365","0.551","0.575","10.4","4.2","1.2","0.8","0.5","1","14.7","11.7","15.9","5.9","109.8","112.4"
"","Ochai Agbaji","Tor","G","24.8","45","27.8","13.8","8.6","32","0.656","188","0.617","174","0.408","0.615","0.62","10.4","3.6","1.6","0.9","0.6","0.8","14","12","15.6","5.6","120.2","115.3"
"","Grant Williams","Cha","F","26.2","16","29.9","14.8","18.5","37","0.838","49","0.551","74","0.365","0.549","0.596","10.4","5.1","2.3","1.1","0.8","1.8","15.5","12.7","17.8","6.6","112.5","107.5"
"","Derrick Jones Jr.","Lac","F","28","48","25.1","16.4","10.2","66","0.788","251","0.602","134","0.366","0.583","0.605","10.4","3.7","0.9","1.2","0.4","0.9","14.1","11.3","15","5.2","117.6","105.5"
"","Dorian Finney-Smith","Bro","F","31.8","20","29","14.3","10.2","24","0.625","51","0.51","108","0.435","0.607","0.613","10.4","4.6","1.6","0.9","0.6","0.9","15","12","16.5","5.9","119.8","110.4"
"","Dante Exum","Dal","G","29.6","3","18.3","26","13.2","8","0.75","20","0.55","6","0.167","0.481","0.525","10.3","1.7","2.7","1","0","1.3","12","13","14.7","7.9","106.2","107.2"
"","Tosan Evbuomwan","Bro","F","24","17","24.9","19.4","17.9","43","0.721","94","0.543","43","0.326","0.526","0.561","10.3","4.2","1.6","0.7","0.3","1.8","14.5","11.9","16.1","6.6","103.2","111.5"
"","Toumani Camara","Por","F","24.7","49","32.1","13.9","15.2","75","0.733","208","0.548","203","0.365","0.547","0.569","10.3","5.8","2","1.4","0.6","1.5","16.1","12.3","18.1","6.1","113.1","110.8"
"","Herbert Jones","Nor","F","26.3","20","32.4","14.6","16.9","40","0.825","100","0.53","72","0.306","0.5","0.541","10.3","3.9","3.3","1.9","0.5","1.8","14.2","13.5","17.4","6.3","107.1","112.8"
"","Aaron Wiggins","Okc","G","26.1","49","21.4","18.6","9.5","43","0.837","216","0.606","183","0.366","0.58","0.597","10.2","3.6","1.6","0.7","0.2","0.9","13.8","11.8","15.4","7.3","118.6","105.3"
"","Quentin Grimes","Dal","G","24.7","47","22.8","18.4","14.3","81","0.765","164","0.543","201","0.398","0.573","0.599","10.2","3.8","2.1","0.7","0.2","1.3","14","12.4","16.2","7.6","114.7","110.4"
"","De'Anthony Melton","Gol","G","26.7","6","20.2","23.4","15.6","8","0.5","19","0.474","35","0.371","0.528","0.53","10.2","3.3","2.8","1.2","0.3","1.7","13.5","13","16.3","9","103.6","99.9"
"","Caris LeVert","Cle","G","30.5","38","23.8","18.2","14.6","83","0.699","150","0.5","148","0.405","0.554","0.58","10.2","2.8","3.7","0.9","0.5","1.3","13","13.9","16.7","7.9","117.5","111.3"
"","Amir Coffey","Lac","G-F","27.6","49","26","14.9","9","87","0.897","186","0.527","179","0.413","0.573","0.615","10.1","2.4","1.1","0.6","0.1","0.7","12.6","11.3","13.7","4.6","120.7","109.6"
"","Spencer Dinwiddie","Dal","G","31.8","49","25","17.4","12.3","137","0.847","192","0.474","194","0.335","0.488","0.552","10.1","2.4","3.8","0.9","0.2","1.1","12.5","13.8","16.3","7.2","117.5","113.1"
"","Josh Okogie","Cha","G","26.4","7","21.2","20","14.4","19","0.789","30","0.467","23","0.391","0.519","0.57","10","3.4","1.4","2.7","0.7","1.3","13.4","11.4","14.9","6.8","112.2","105.4"
"","Svi Mykhailiuk","Uta","G-F","27.7","19","19.1","23.2","16","17","0.765","46","0.587","116","0.353","0.546","0.561","10","2.4","1.8","0.7","0.3","1.6","12.4","11.8","14.2","7.3","103.1","115.8"
"","Keon Johnson","Bro","G","22.9","49","23.1","21.9","11.4","81","0.778","223","0.462","244","0.303","0.458","0.488","10","3.4","1.9","0.9","0.3","1.2","13.4","11.9","15.3","6.9","98.6","107.7"
"","Bogdan Bogdanovic","Atl","G","32.5","24","24.9","18.8","14.2","34","0.882","78","0.5","146","0.301","0.469","0.502","10","2.8","2","0.8","0.3","1.5","12.8","12","14.8","6.1","97.2","110.3"
"","GG Jackson","Mem","F","20.1","9","17.6","25","14.1","17","0.824","39","0.538","40","0.275","0.475","0.515","9.9","3.9","0.9","0.6","0.2","1.4","13.8","10.8","14.7","7.4","100.9","109.8"
"","Zach Edey","Mem","C","22.7","37","20.9","17.7","18","75","0.68","216","0.63","39","0.359","0.616","0.634","9.9","7.8","1","0.6","1.2","1.5","17.6","10.9","18.6","8.1","119.9","100"
"","Nic Claxton","Bro","C","25.8","44","26.4","16.8","13.1","104","0.529","330","0.57","14","0.071","0.551","0.557","9.9","7.4","2","0.9","1.3","1.2","17.3","11.8","19.3","8","112.1","108.8"
"","T.J. McConnell","Ind","G","32.9","48","18.7","24.5","15.2","46","0.739","386","0.547","28","0.25","0.535","0.549","9.9","2.6","4.5","1.2","0.3","1.5","12.6","14.4","17","10.4","111.2","112.3"
"","Obi Toppin","Ind","F","26.9","46","18.8","19.2","9","62","0.79","170","0.712","155","0.348","0.622","0.643","9.8","4","1.5","0.7","0.4","0.7","13.8","11.3","15.3","8.3","123.6","110.3"
"","Luguentz Dort","Okc","G","25.8","47","29","13.5","8","39","0.821","121","0.438","260","0.415","0.564","0.58","9.8","4.3","1.7","1.1","0.7","0.7","14.1","11.5","15.8","5.7","120.6","100.6"
"","Luke Kennard","Mem","G","28.6","38","22.2","15.2","13.5","43","0.884","88","0.466","174","0.477","0.632","0.657","9.7","2.9","3.4","0.7","0.1","1.1","12.6","13.2","16.1","8.2","131.3","113.8"
"","Cam Whitmore","Hou","F","20.6","31","16.9","24.9","11.4","43","0.721","146","0.527","119","0.328","0.511","0.532","9.7","3.2","0.8","0.7","0.3","1.1","13","10.6","13.8","6.9","105.3","106.7"
"","Isaiah Joe","Okc","G","25.6","45","21","17.3","5.3","26","0.731","78","0.564","276","0.399","0.59","0.598","9.7","2.5","1.4","0.7","0.1","0.4","12.2","11.1","13.6","6.2","120.9","104.3"
"","Gary Trent Jr.","Mil","G","26.1","44","24.6","15.6","6.7","36","0.889","118","0.449","228","0.421","0.569","0.589","9.7","2.4","1","0.9","0.1","0.6","12","10.7","13","4.6","112.9","109.6"
"","Jose Alvarado","Nor","G","26.8","27","22.2","18.4","12.6","34","0.794","71","0.394","144","0.41","0.542","0.565","9.6","2","4.1","1.3","0.3","1.1","11.6","13.7","15.7","7.7","118.1","114.7"
"","Scotty Pippen Jr.","Mem","G","24.2","51","21.2","19.6","19.4","110","0.673","248","0.532","143","0.357","0.533","0.559","9.6","3.4","4.6","1.2","0.4","1.8","13","14.2","17.6","10","113.5","102.3"
"","Jalen Wilson","Bro","F","24.3","50","27.6","16.3","12.2","98","0.827","187","0.492","223","0.314","0.48","0.524","9.5","3.5","1.9","0.6","0","1.1","13","11.4","14.9","5.8","106.5","113.2"
"","Dalton Knecht","Lal","F","23.8","48","20.7","17.9","6.4","57","0.825","138","0.63","215","0.358","0.574","0.598","9.4","3.1","0.9","0.3","0.1","0.5","12.5","10.3","13.4","5.7","117.3","112.2"
"","Brandin Podziemski","Gol","G","21.9","37","24.4","16.7","11.9","53","0.792","147","0.531","150","0.333","0.515","0.543","9.4","4.5","3.3","1","0.2","1.1","13.9","12.7","17.2","8.5","114.8","109.8"
"","Noah Clowney","Bro","F-C","20.6","37","23","18.8","11.3","60","0.85","90","0.422","209","0.354","0.498","0.536","9.4","3.9","0.8","0.5","0.5","1","13.4","10.2","14.2","5.4","103.9","109.1"
"","Brice Sensabaugh","Uta","F","21.3","39","17.9","21.8","15.5","35","0.943","115","0.565","178","0.382","0.57","0.595","9.4","2.6","1.3","0.6","0.1","1.4","12","10.7","13.3","7.1","108.3","114.6"
"","Jaime Jaquez Jr.","Mia","G","24","44","23.2","19.7","16.6","120","0.767","249","0.49","88","0.295","0.478","0.531","9.4","4.8","2.7","1.1","0.2","1.5","14.2","12.1","16.9","8.5","107.4","107.7"
"","Julian Strawther","Den","G","22.8","51","21.8","17.6","9.8","73","0.822","173","0.526","215","0.367","0.54","0.57","9.4","2.1","1.3","0.7","0.3","0.8","11.5","10.7","12.8","5.4","110.9","108.9"
"","Ziaire Williams","Bro","F","23.4","37","23.4","18.8","11.4","83","0.819","148","0.473","146","0.322","0.478","0.528","9.4","4.7","1.4","1","0.4","1","14.1","10.8","15.5","6.8","106.6","106.9"
"","Patrick Williams","Chi","F","23.5","42","26.7","17","13.3","61","0.77","177","0.407","194","0.351","0.469","0.496","9.4","4.2","2.2","0.8","0.6","1.4","13.6","11.6","15.7","6.6","98.4","116.2"
"","Royce O'Neale","Pho","F","31.7","44","25.2","15.6","11","22","0.773","93","0.484","248","0.411","0.581","0.589","9.4","5.1","2.1","1","0.5","1","14.5","11.5","16.6","7.4","114.4","109.6"
"","Clint Capela","Atl","C","30.7","45","22.4","16.6","11.8","85","0.541","330","0.573","0","0","0.573","0.577","9.4","9","1.2","0.6","1","1","18.4","10.6","19.6","8.3","118.6","106.8"
"","Chris Paul","San","G","39.8","48","29.1","14.2","17.2","71","0.958","130","0.508","230","0.365","0.533","0.578","9.4","4.1","8.2","1.3","0.2","1.6","13.6","17.6","21.8","9.4","127.7","111"
"","Kevin Porter Jr.","Lac","G-F","24.8","45","19.6","25.6","17.1","76","0.645","301","0.485","106","0.245","0.455","0.476","9.3","3.6","3.2","1","0.2","1.9","12.9","12.5","16.1","9.7","95.8","104"
"","Goga Bitadze","Orl","C-F","25.6","41","24","15.5","17.8","86","0.651","239","0.665","19","0.105","0.628","0.642","9.3","8.2","2.3","0.8","1.6","1.4","17.5","11.6","19.8","9.3","124.1","100.8"
"","Cole Anthony","Orl","G","24.7","47","17.1","26.2","16.2","79","0.797","228","0.491","149","0.322","0.488","0.523","9.2","2.9","2.8","0.6","0.3","1.6","12.1","11.9","14.8","9.9","103.2","99.7"
"","Dereck Lively II","Dal","C","21","32","24","13.6","18","69","0.638","177","0.701","0","0","0.701","0.704","9.1","7.8","2.6","0.5","1.7","1.2","17","11.8","19.6","9.5","137.9","103.4"
"","Miles McBride","Nyk","G","24.4","41","23.3","16.8","8.3","41","0.829","134","0.5","188","0.367","0.53","0.551","9.1","2.4","2.7","0.9","0.2","0.7","11.5","11.9","14.3","6.7","119.4","112.7"
"","Caleb Martin","Phi","F","29.4","31","30.4","14.4","15.6","74","0.622","145","0.469","87","0.379","0.506","0.531","9.1","4.4","2.3","1.1","0.6","1.4","13.5","11.3","15.7","5.9","106.9","113.1"
"","Moses Moody","Gol","G","22.7","42","18.2","19.1","8.8","65","0.708","111","0.514","180","0.4","0.567","0.588","9","2.1","1.1","0.5","0.3","0.7","11","10","12.1","6","115","111.3"
"","Kentavious Caldwell-Pope","Orl","G","32","49","30.5","13","10.3","65","0.877","141","0.589","233","0.313","0.515","0.549","9","2","1.8","1.5","0.5","0.9","11","10.8","12.8","4.2","110.1","108.4"
"","Nick Richards","Pho","C","27.2","10","24.1","16.8","23.7","26","0.731","60","0.583","1","0","0.574","0.614","8.9","10","0.7","0.3","0.8","1.9","18.9","9.6","19.6","6.6","110.1","102.2"
"","Anthony Black","Orl","G","21","48","24.7","19.1","19.5","134","0.754","259","0.459","112","0.268","0.442","0.499","8.9","2.6","3.4","1","0.5","1.9","11.5","12.3","14.9","6.9","99.5","104.7"
"","Nick Richards","Cha","C","27.2","21","21","17.8","22.4","87","0.678","113","0.566","1","0","0.561","0.614","8.9","7.5","1.3","0.3","1.2","1.6","16.4","10.2","17.8","8.4","115.7","103.9"
"","Yves Missi","Nor","C","20.7","48","27.2","13.4","15.9","129","0.651","300","0.56","1","0","0.558","0.587","8.8","8","1.4","0.6","1.4","1.2","16.8","10.2","18.2","6.8","120.6","114.6"
"","Nickeil Alexander-Walker","Min","G","26.4","51","23.7","16.2","14.8","52","0.731","142","0.507","221","0.398","0.562","0.578","8.7","2.9","2.4","0.6","0.3","1.2","11.6","11.2","14.1","6.6","112.3","108.6"
"","Georges Niang","Cle","F","31.6","51","20.7","16.6","12.1","29","0.793","123","0.618","225","0.4","0.606","0.617","8.7","3.7","1.3","0.3","0.1","0.9","12.4","10","13.7","6.7","115.4","103.3"
"","Marcus Smart","Mem","G","30.9","19","21.1","19.8","19.1","36","0.833","58","0.414","90","0.322","0.456","0.504","8.7","2.3","3.7","1.2","0.3","1.8","10.9","12.4","14.7","8","104.9","108.5"
"","Tristan da Silva","Orl","F","23.7","48","25.7","15.1","11","46","0.848","184","0.522","180","0.333","0.511","0.535","8.6","4","1.8","0.5","0.2","0.9","12.6","10.3","14.3","6.2","109.6","109.3"
"","Wendell Carter Jr.","Orl","C-F","25.8","39","25.6","15.3","12.2","110","0.727","179","0.564","88","0.205","0.479","0.533","8.6","7.3","2.4","0.8","0.5","0.9","15.9","11","18.3","8.3","115.3","100"
"","Jusuf Nurkic","Pho","C","30.5","25","23.7","18.7","25.9","69","0.696","104","0.529","59","0.322","0.512","0.556","8.6","9.2","1.9","0.9","0.6","2.3","17.8","10.5","19.6","9","100.9","99.9"
"","Carlton Carrington","Was","G","19.5","50","28.9","14.2","15.2","44","0.818","175","0.463","226","0.336","0.486","0.507","8.5","3.9","3.9","0.7","0.2","1.4","12.4","12.4","16.3","7","103.3","116.1"
"","Max Christie","Lal","G","22","46","25.1","14","11.9","87","0.851","125","0.544","163","0.368","0.549","0.598","8.5","2.7","1.4","0.8","0.5","0.8","11.2","9.9","12.6","5.1","116.2","112.5"
"","Dalano Banton","Por","F","25.3","39","15.3","25.9","14.3","74","0.703","162","0.451","126","0.357","0.488","0.519","8.5","1.9","2.1","0.7","0.5","1.2","10.5","10.7","12.6","8.5","104.5","114.3"
"","Aaron Nesmith","Ind","G-F","25.3","14","21","15","12","25","0.88","46","0.565","34","0.441","0.606","0.654","8.5","3.4","1.1","0.6","0.3","0.8","11.9","9.6","13","6","122.5","105"
"","Bruce Brown","Tor","G-F","28.5","18","19.6","19.5","12.6","29","0.897","95","0.484","36","0.306","0.477","0.525","8.4","3.8","1.6","0.9","0.2","1.1","12.2","9.9","13.7","7.6","105.5","112.4"
"","Ausar Thompson","Det","G-F","22","29","20.4","18.8","16.5","59","0.61","165","0.564","32","0.219","0.525","0.545","8.4","4.9","1.7","1.6","0.4","1.3","13.2","10.1","15","8.1","107.3","100.1"
"","Jaylen Nowell","Nor","G","25.6","8","21","21.5","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","93.9","121"
"","Kel'el Ware","Mia","C","20.8","34","18.1","18.1","10.5","33","0.727","152","0.612","61","0.41","0.613","0.626","8.4","5.5","0.6","0.6","1","0.7","13.9","9","14.5","6.7","118","105.2"
"","Jaden Hardy","Dal","G","22.6","39","15.6","24.9","17","50","0.74","145","0.469","132","0.386","0.522","0.545","8.4","1.6","1.4","0.5","0.1","1.5","9.9","9.7","11.3","6.8","98.4","108.8"
"","Jalen Smith","Chi","F-C","24.9","47","15.3","20.7","8.6","67","0.836","136","0.625","163","0.35","0.57","0.604","8.4","5.6","0.9","0.3","0.7","0.6","14.1","9.4","15","9.1","121.4","107.3"
"","Draymond Green","Gol","F","34.9","36","28","15.5","26.1","71","0.606","119","0.487","133","0.346","0.504","0.524","8.3","6","5.6","1.1","1.1","2.5","14.2","13.8","19.8","9.3","104.3","103.7"
"","Tyrese Martin","Bro","F","25.9","33","21.2","18.8","14.4","30","0.7","95","0.474","149","0.356","0.51","0.525","8.2","3.9","1.8","0.4","0.2","1.2","12.1","9.9","13.8","7.3","102.5","115"
"","Max Strus","Cle","G-F","28.9","23","24.6","14.2","13","9","0.778","34","0.618","126","0.365","0.563","0.57","8.1","4.3","3","0.7","0.4","1","12.4","11.1","15.4","7.7","117.2","107.1"
"","Peyton Watson","Den","G","22.4","48","24.2","14","12.6","101","0.752","203","0.532","94","0.34","0.525","0.568","8.1","3.4","1.5","0.9","1.2","0.9","11.5","9.6","13","5.7","113.6","112"
"","Larry Nance Jr.","Atl","F-C","32.1","21","19.1","15","9.1","12","0.75","65","0.569","65","0.446","0.619","0.628","8.1","4.4","1.5","0.9","0.6","0.6","12.5","9.6","14","7.9","123.5","109.1"
"","Mike Conley","Min","G","37.3","46","25","15.1","13.5","64","0.906","107","0.327","214","0.379","0.488","0.531","8.1","2.7","4.6","1.2","0.2","1.1","10.7","12.7","15.3","7.4","119.3","109.1"
"","Day'Ron Sharpe","Bro","C","23.3","29","17.4","21","16","52","0.769","153","0.569","30","0.2","0.525","0.563","8","6","1.5","0.8","0.6","1.2","14","9.5","15.6","9.6","115.8","103.9"
"","Justin Edwards","Phi","F","21.1","21","23.6","14.5","11.6","17","0.647","53","0.623","84","0.357","0.569","0.578","8","3.1","1.4","0.7","0.3","0.9","11","9.4","12.5","5.5","113.7","111.1"
"","Trayce Jackson-Davis","Gol","F","25","46","19.5","16.6","12.3","86","0.605","277","0.57","1","0","0.568","0.583","8","6.2","2.1","0.5","0.7","0.8","14.2","10.1","16.3","9.7","123.2","108"
"","Al Horford","Bos","C-F","38.7","39","26.3","13.2","9.1","16","0.875","81","0.556","197","0.35","0.534","0.546","8","5.3","1.9","0.6","0.9","0.7","13.2","9.9","15.2","6.6","115.8","108"
"","Trendon Watford","Bro","G-F","24.2","16","16.3","23.5","17","37","0.811","71","0.493","31","0.29","0.475","0.537","7.9","3","1.3","0.4","0.3","1.3","10.9","9.2","12.2","7.7","100.1","103.4"
"","Brandon Clarke","Mem","F","28.4","47","18.8","14.5","9.4","57","0.684","252","0.655","16","0.063","0.621","0.635","7.9","5","1","0.9","0.6","0.6","12.9","8.9","13.9","7.2","128.9","100.5"
"","Kevin Huerter","Sac","G-F","26.4","43","20.9","17","10.7","28","0.714","105","0.629","205","0.302","0.513","0.524","7.9","2.8","1.7","0.8","0.4","0.9","10.7","9.6","12.4","6.4","105","110.7"
"","A.J. Green","Mil","G","25.4","42","21.9","13.2","8.8","15","0.867","33","0.515","215","0.433","0.631","0.64","7.8","2.3","1.3","0.5","0.1","0.6","10.1","9","11.3","5.2","120.4","107.7"
"","Jay Huff","Mem","C","27.5","44","12.9","19.5","10.9","48","0.771","77","0.727","152","0.421","0.664","0.682","7.8","2.2","0.7","0.3","0.9","0.6","10","8.4","10.6","7.1","126.6","105.2"
"","Justin Champagnie","Was","G-F","23.6","32","18.8","15.9","11.6","31","0.645","98","0.633","92","0.38","0.603","0.611","7.8","4.5","0.9","1","0.6","0.8","12.3","8.7","13.2","6.7","117.1","111.3"
"","Cody Martin","Cha","F","29.4","39","24.8","14.5","13.5","49","0.694","144","0.528","124","0.323","0.507","0.528","7.8","4.5","2.3","1.1","0.7","1.1","12.4","10.1","14.6","7","109.4","109.3"
"","Kyshawn George","Was","F","21.2","45","25.5","14.9","14.7","53","0.774","100","0.49","231","0.299","0.461","0.488","7.7","3.8","2.2","0.8","0.6","1.3","11.4","9.9","13.6","6.3","97.9","112"
"","Keon Ellis","Sac","G","25.1","48","21.8","13.1","13","51","0.863","78","0.577","182","0.434","0.629","0.657","7.7","2.4","1.3","1.4","0.8","0.8","10.1","9","11.4","5.3","123.8","109.5"
"","Garrison Mathews","Atl","G","28.3","42","18","16","11","76","0.829","34","0.412","200","0.385","0.553","0.602","7.7","1.9","1.3","0.6","0.3","0.7","9.5","9","10.9","5.9","117.9","110"
"","Ja'Kobe Walter","Tor","G","20.4","32","19.2","18.3","10.2","49","0.714","115","0.487","105","0.305","0.473","0.503","7.6","2.4","1.5","0.7","0.2","0.8","10","9.1","11.5","6.3","103.8","112.2"
